Tag;Stunde;AVG_TA200
03.01.2023;07:00;7,11
03.01.2023;08:00;6,62
03.01.2023;09:00;6,82
03.01.2023;10:00;7,43
03.01.2023;11:00;8,02
03.01.2023;12:00;8,39
03.01.2023;13:00;9,59
03.01.2023;14:00;10,35
03.01.2023;15:00;10,57
03.01.2023;16:00;9,39
03.01.2023;17:00;7,04
03.01.2023;18:00;5,99
03.01.2023;19:00;5,34
03.01.2023;20:00;4,97
03.01.2023;21:00;4,33
03.01.2023;22:00;4,08
03.01.2023;23:00;3,82
04.01.2023;00:00;2,84
04.01.2023;01:00;2,20
04.01.2023;02:00;1,35
04.01.2023;03:00;1,91
04.01.2023;04:00;3,96
04.01.2023;05:00;7,17
04.01.2023;06:00;8,29
04.01.2023;07:00;9,07
04.01.2023;08:00;9,33
04.01.2023;09:00;8,53
04.01.2023;10:00;8,19
04.01.2023;11:00;9,26
04.01.2023;12:00;10,09
04.01.2023;13:00;10,21
04.01.2023;14:00;9,90
04.01.2023;15:00;10,11
04.01.2023;16:00;10,00
04.01.2023;17:00;10,18
04.01.2023;18:00;10,51
04.01.2023;19:00;10,85
04.01.2023;20:00;11,04
04.01.2023;21:00;11,06
04.01.2023;22:00;11,00
04.01.2023;23:00;10,92
05.01.2023;00:00;10,99
05.01.2023;01:00;11,30
05.01.2023;02:00;10,87
05.01.2023;03:00;10,66
05.01.2023;04:00;10,79
05.01.2023;05:00;10,73
05.01.2023;06:00;10,89
05.01.2023;07:00;11,04
05.01.2023;08:00;11,21
05.01.2023;09:00;11,41
05.01.2023;10:00;11,72
05.01.2023;11:00;12,72
05.01.2023;12:00;12,38
05.01.2023;13:00;12,67
05.01.2023;14:00;12,61
05.01.2023;15:00;12,51
05.01.2023;16:00;12,31
05.01.2023;17:00;11,98
05.01.2023;18:00;11,97
05.01.2023;19:00;11,80
05.01.2023;20:00;11,59
05.01.2023;21:00;11,48
05.01.2023;22:00;10,78
05.01.2023;23:00;10,02
06.01.2023;00:00;9,04
06.01.2023;01:00;8,08
06.01.2023;02:00;7,34
06.01.2023;03:00;7,00
06.01.2023;04:00;7,56
06.01.2023;05:00;6,51
06.01.2023;06:00;6,95
06.01.2023;07:00;6,67
06.01.2023;08:00;6,55
06.01.2023;09:00;8,72
06.01.2023;10:00;10,66
06.01.2023;11:00;11,11
06.01.2023;12:00;12,07
06.01.2023;13:00;12,44
06.01.2023;14:00;11,75
06.01.2023;15:00;11,28
06.01.2023;16:00;10,85
06.01.2023;17:00;10,22
06.01.2023;18:00;9,84
06.01.2023;19:00;9,85
06.01.2023;20:00;9,24
06.01.2023;21:00;9,16
06.01.2023;22:00;8,59
06.01.2023;23:00;8,52
07.01.2023;00:00;8,48
07.01.2023;01:00;8,30
07.01.2023;02:00;8,25
07.01.2023;03:00;8,46
07.01.2023;04:00;8,60
07.01.2023;05:00;8,47
07.01.2023;06:00;8,32
07.01.2023;07:00;8,34
07.01.2023;08:00;8,03
07.01.2023;09:00;8,64
07.01.2023;10:00;9,24
07.01.2023;11:00;10,98
07.01.2023;12:00;12,12
07.01.2023;13:00;13,80
07.01.2023;14:00;14,07
07.01.2023;15:00;13,56
07.01.2023;16:00;12,56
07.01.2023;17:00;10,62
07.01.2023;18:00;8,31
07.01.2023;19:00;7,12
07.01.2023;20:00;6,53
07.01.2023;21:00;6,04
07.01.2023;22:00;5,17
07.01.2023;23:00;4,73
